ID,DOM,Area,LP,SP,SqFt,BR,Bth,PB,Gar,GarSp,YrBlt,HOA Fee
40883400,57,3700,799888,780000,1207,3,2,0,Y,2,1955,0
40885070,8,3700,799888,820000,1269,3,2,0,Y,2,1962,0
40876286,73,3700,799888,780000,1148,3,2,0,Y,2,1959,0
40889601,6,3700,799888,893000,1112,3,2,0,Y,2,1954,0
40913846,75,3700,799888,770000,1037,3,1,0,Y,1,1951,0
ML81733047,11,3700,799888,945000,1358,3,2,0,Y,2,1960,0
40848848,23,3700,799889,750000,1146,3,2,0,Y,2,1958,0
40882253,12,3700,799900,820000,1108,3,2,0,Y,2,1966,0
40924327,13,3700,799900,905000,1324,4,2,0,Y,2,1962,0
ML81768599,12,3700,799900,820000,1108,3,2,0,Y,2,1966,0
40859223,10,3700,799950,827000,1036,3,1,0,Y,2,1959,0
40850584,0,3700,799988,785000,1140,3,1,0,Y,2,1962,0
ML81728174,92,3700,799988,785000,1140,3,1,0,Y,2,1962,0
40882733,33,3700,799990,799990,1074,3,1,0,Y,2,1953,0
40872058,22,3700,799999,750000,950,3,1,0,Y,1,1955,0
40914937,7,3700,800000,875000,1632,3,2,0,N,0,1957,0
