ID,DOM,Area,LP,SP,SqFt,BR,Bth,PB,Gar,GarSp,YrBlt,Lot SqFt,HOA Fee,Closing Date
40854100,33,3700,"$1,219,000 ","$1,200,009 ",1914,4,2,0,Y,2,1985,"6,540",,3/26/19
ML81740376,8,3700,"$1,499,888 ","$1,627,121 ",1774,4,3,,Y,2,1957,"5,700",,3/26/19
40854629,8,3700,"$1,499,888 ","$1,627,121 ",1774,4,3,0,Y,2,1957,"5,700",,3/26/19
ML81744243,0,3700,"$1,700,000 ","$1,600,121 ",2257,4,3,,Y,2,1985,"9,380",,3/26/19
ML81730025,119,3500,"$875,000 ","$860,000 ",1080,3,2,,Y,2,1960,"8,183",,3/27/19
40854058,8,3700,"$885,000 ","$904,000 ",1302,3,2,0,Y,2,1962,"5,000",,3/27/19
40855534,7,3700,"$974,000 ","$975,000 ",1320,3,2,0,Y,2,1960,"7,260",,3/28/19
ME18075073,102,3700,"$1,079,000 ","$1,055,000 ",1387,4,2,0,,2,1964,"6,513",,3/28/19
40854513,1,3700,"$1,150,000 ","$1,040,000 ",1737,3,2,0,Y,2,1977,"7,955",,3/28/19
40854419,10,3700,"$1,199,950 ","$1,250,000 ",1700,3,2,1,Y,2,1987,"7,251",165,3/28/19
40853922,8,3700,"$1,279,000 ","$1,320,000 ",1672,4,2,1,Y,2,1985,"5,371",,3/28/19
40853309,7,3700,"$1,799,800 ","$1,830,000 ",2749,5,3,0,Y,2,1986,"27,069",,3/28/19
40843999,110,3700,"$3,449,999 ","$3,210,000 ",4750,5,4,1,Y,4,2000,"24,760",262,3/28/19
40850342,45,3700,"$849,950 ","$840,000 ",1152,3,2,0,Y,2,1960,"6,283",,3/29/19
40854657,9,3700,"$879,888 ","$921,000 ",1185,3,2,,Y,2,1960,"8,250",,3/29/19
40853109,16,3700,"$1,099,888 ","$1,105,000 ",1243,3,2,0,Y,2,1977,"6,741",,3/29/19
ML81739308,16,3700,"$1,285,000 ","$1,248,000 ",2055,4,3,1,Y,2,2010,"1,002",95,3/29/19
40853619,13,3700,"$1,385,000 ","$1,360,000 ",2574,4,3,0,Y,2,2010,"4,000",114,3/29/19
ML81738766,7,3500,"$968,000 ","$985,000 ",1537,4,2,,Y,2,1955,"5,385",,4/1/19
40852991,25,3700,"$879,000 ","$860,000 ",1494,3,2,1,Y,2,1956,"5,460",,4/1/19
40853218,7,3700,"$968,000 ","$985,000 ",1537,4,2,0,Y,2,1955,"5,385",,4/1/19
40851210,49,3700,"$1,199,500 ","$1,120,000 ",1818,3,2,0,Y,2,1973,"7,409",,4/1/19
40855817,7,3700,"$1,498,000 ","$1,560,000 ",1775,3,2,0,Y,2,1966,"7,412",,4/1/19
ML81741641,7,3700,"$1,498,000 ","$1,560,000 ",1775,3,2,,Y,2,1966,"7,412",,4/1/19
40853962,9,3700,"$1,498,000 ","$1,560,000 ",2798,5,2,1,Y,2,2000,"7,519",135,4/1/19
40840821,151,3700,"$899,000 ","$860,000 ",1930,3,2,,Y,2,1969,"5,496",,4/2/19
40852474,16,3700,"$1,124,000 ","$1,130,000 ",1424,4,2,0,Y,2,1961,"6,000",,4/3/19
ML81733436,83,3700,"$1,299,000 ","$1,190,000 ",1544,3,2,1,Y,2,1963,"7,260",,4/3/19
40854221,18,3700,"$1,299,800 ","$1,280,888 ",1841,4,2,1,Y,2,1979,"6,000",,4/3/19
ML81745257,0,3700,"$1,450,000 ","$1,451,000 ",1544,4,2,,Y,2,1971,"8,030",,4/3/19
40853502,14,3700,"$869,000 ","$900,000 ",1256,3,2,0,Y,2,1965,"6,000",,4/4/19
